Year,City,Season
1896,Athina,Summer
1900,Paris,Summer
1904,St. Louis,Summer
1906,Athina,Summer
1908,London,Summer
1912,Stockholm,Summer
1920,Antwerpen,Summer
1924,Chamonix,Winter
1924,Paris,Summer
1928,Amsterdam,Summer
1928,Sankt Moritz,Winter
1932,Lake Placid,Winter
1932,Los Angeles,Summer
1936,Berlin,Summer
1936,Garmisch-Partenkirchen,Winter
1948,London,Summer
1948,Sankt Moritz,Winter
1952,Helsinki,Summer
1952,Oslo,Winter
1956,Cortina d'Ampezzo,Winter
1956,Melbourne,Summer
1956,Stockholm,Summer
1960,Roma,Summer
1960,Squaw Valley,Winter
1964,Innsbruck,Winter
1964,Tokyo,Summer
1968,Grenoble,Winter
1968,Mexico City,Summer
1972,Munich,Summer
1972,Sapporo,Winter
1976,Innsbruck,Winter
1976,Montreal,Summer
1980,Lake Placid,Winter
1980,Moskva,Summer
1984,Los Angeles,Summer
1984,Sarajevo,Winter
1988,Calgary,Winter
1988,Seoul,Summer
1992,Albertville,Winter
1992,Barcelona,Summer
1994,Lillehammer,Winter
1996,Atlanta,Summer
1998,Nagano,Winter
2000,Sydney,Summer
2002,Salt Lake City,Winter
2004,Athina,Summer
2006,Torino,Winter
2008,Beijing,Summer
2010,Vancouver,Winter
2012,London,Summer
2014,Sochi,Winter
2016,Rio de Janeiro,Summer
